Latitude,Longitude,Duration,DOP,Satellites,BirdID,Date,Time,CaptureLocation,Year
43.9417554,-71.7382978,31,3,5,2521_45043,7/1/2013,1:40:18,HBEF,2014
19.2388983,-69.949903,38,2.8,6,2521_45043,2/10/2014,1:25:42,HBEF,2014
43.9408717,-71.737734,33,2.6,5,2521_45050,7/1/2013,1:57:48,HBEF,2014
18.9208684,-69.2354225,44,4.8,4,2521_45050,4/7/2014,1:37:48,HBEF,2014
43.9444398,-71.7112335,24,1.2,5,2521_45056,7/1/2013,1:56:19,HBEF,2014
20.1790768,-76.9094652,36,0.8,10,2521_45056,3/10/2014,1:38:36,HBEF,2014
43.9461974,-71.7155107,21,3.4,5,2521_45058,7/1/2013,1:50:48,HBEF,2014
18.8476254,-72.2521355,36,1,7,2521_45058,10/21/2013,1:44:36,HBEF,2014
43.9450991,-71.7268906,37,0.8,9,2521_45068,7/1/2013,2:03:48,HBEF,2014
18.3136104,-71.1812768,30,1.8,4,2521_45068,12/16/2013,1:50:18,HBEF,2014
38.7777269,-76.6987415,33,3,3,2031_91146,7/1/2013,1:14:06,JB,2014
23.0687849,-82.0958636,27,2.2,5,2031_91146,3/10/2014,12:54:18,JB,2014
38.781162,-76.6976677,37,1.6,5,2521_45005,7/1/2013,1:18:12,JB,2014
22.9176803,-82.9173679,37,1.6,7,2521_45005,1/13/2014,1:05:37,JB,2014
38.2057731,-77.3872414,37,2.4,5,2521_45008,7/1/2013,1:22:48,JB,2014
22.7159872,-80.5689822,22,3.4,5,2521_45008,3/10/2014,1:08:48,JB,2014
38.7786897,-76.6926503,36,2,5,2521_45011,7/1/2013,1:23:18,JB,2014
29.4168263,-81.374529,36,5.4,4,2521_45011,2/10/2014,1:11:37,JB,2014
38.7858128,-76.6982011,60,3.4,3,2521_45013,7/1/2013,1:19:06,JB,2014
22.312371,-84.356225,48,1.8,4,2521_45013,1/13/2014,1:07:48,JB,2014
38.7858369,-76.6946957,25,2.2,4,2521_45018,7/1/2013,1:20:48,JB,2014
25.3859905,-80.6279406,26,5.2,5,2521_45018,2/10/2014,12:59:48,JB,2014
38.7847492,-76.6989074,35,2.6,3,2521_45020,7/1/2013,1:37:14,JB,2014
27.4591397,-81.5346845,34,1.8,7,2521_45020,4/7/2014,1:15:18,JB,2014
38.7994611,-76.6922609,36,2,5,2521_45026,7/1/2013,1:23:06,JB,2014
22.5985692,-81.1588752,24,5.8,6,2521_45026,1/13/2014,1:04:48,JB,2014
38.7947479,-76.6930688,37,2.2,4,2521_45027,7/1/2013,1:05:12,JB,2014
22.9729736,-80.8286188,33,2.4,5,2521_45027,3/10/2014,12:47:42,JB,2014
38.7936225,-76.6928565,24,1.2,5,2521_45028,7/1/2013,12:46:18,JB,2014
26.1837992,-81.4209095,25,2.2,5,2521_45028,3/10/2014,12:27:18,JB,2014
43.9431984,-71.7420315,40,2.8,4,2391_69096,6/26/2014,4:16:06,HBEF,2015
19.2673132,-71.3293821,36,3,4,2391_69096,3/5/2015,3:58:43,HBEF,2015
43.9510407,-71.7355062,34,3.2,5,2521_45132,6/26/2014,2:36:18,HBEF,2015
19.2740607,-70.8792175,21,9.8,5,2521_45132,3/5/2015,2:21:48,HBEF,2015
43.9466918,-71.7362206,39,2.4,3,2401_30364,6/26/2014,4:10:12,HBEF,2015
21.3407783,-77.6501675,30,1.4,6,2401_30364,1/8/2015,3:58:48,HBEF,2015
43.9451971,-71.7302579,58,3.2,3,2521_45131,6/26/2014,4:04:42,HBEF,2015
18.7537965,-71.0602087,41,2.6,5,2521_45131,3/5/2015,3:45:36,HBEF,2015
