Date,Site,Longitude,Latitude,Band Number of Merge of HL anf feather 2015.jmp,AGE,SEX,Rec or PC,Habitat,Sample Weight (mg),Tray / Well,H,Delta,Delta Duplicate,Comments
11/Jan/12,CRY,-105.0238,19.4339,264002563,SY,M,PC,Scrub/Mgrv,0.7,g12,43,-170.1,,
14/Jan/12,CRY,-105.0238,19.4339,264002632,ASY,M,PC,Scrub/Mgrv,0.7,h1,35,-143.3,,
23/Jan/12,CRY,-105.0238,19.4339,264002599,SY,F,PC,Scrub/Mgrv,0.7,g9,40,-156.5,,
23/Jan/12,CRY,-105.0238,19.4339,264002600,ASY,F,PC,Scrub/Mgrv,0.7,g8,42,-132.3,,
23/Jan/12,CRY,-105.0238,19.4339,264002802,ASY,F,PC,Scrub/Mgrv,0.7,h2,32,-172.9,,
23/Jan/12,CRY,-105.0238,19.4339,264002803,SY,F,PC,Scrub/Mgrv,0.7,g10,42,-178.2,,
10/Feb/12,CRY,-105.0238,19.4339,264002633,ASY,F,PC,Scrub/Mgrv,0.7,g7,38,-137.6,,
10/Feb/12,CRY,-105.0238,19.4339,264002860,ASY,F,PC,Scrub/Mgrv,0.7,g6,38,-159.8,,
8/Mar/12,CRY,-105.0238,19.4339,264002629,ASY,M,PC,Scrub/Mgrv,0.7,h3,28,-121,-117.3,
28/Jan/13,CRY,-105.0238,19.4339,264002563,ASY,M,PC,Scrub/Mgrv,0.7,h7,31,-130.3,,
28/Jan/13,CRY,-105.0238,19.4339,264002632,ASY,M,PC,Scrub/Mgrv,0.7,h5,22,-139.2,-139.8,
28/Jan/13,CRY,-105.0238,19.4339,269022129,SY,M,PC,Scrub/Mgrv,0.7,h9,43,-166,,
2/Feb/13,CRY,-105.0238,19.4339,269022130,SY,M,PC,Scrub/Mgrv,0.6,h11,26,-125.1,,
2/Feb/13,CRY,-105.0238,19.4339,269022131,SY,M,PC,Scrub/Mgrv,0.7,h12,39,-149.3,-122,
5/Feb/13,CRY,-105.0238,19.4339,269022134,SY,M,PC,Scrub/Mgrv,0.7,h10,49,-146.2,,
15/Mar/13,CRY,-105.0238,19.4339,269022182,SY,M,PC,Scrub/Mgrv,0.7,h6,39,-145.4,,
18/Mar/13,CRY,-105.0238,19.4339,264002629,ASY,M,PC,Scrub/Mgrv,0.7,h8,39,-111.1,,
14/Jan/12,CXR,-104.9358,19.4421,264002567,ASY,M,PC,Riparian,0.7,g3,40,-144.4,,
14/Jan/12,CXR,-104.9358,19.4421,264002568,ASY,M,PC,Riparian,0.7,f12,46,-158,,
20/Jan/12,CXR,-104.9358,19.4421,264002592,ASY,M,PC,Riparian,0.7,f11,33,-145.2,-136.8,Duplicate countains  less oxigen
21/Jan/12,CXR,-104.9358,19.4421,264002594,ASY,M,PC,Riparian,0.7,g1,24,-120.6,,
21/Jan/12,CXR,-104.9358,19.4421,264002596,SY,M,PC,Riparian,0.7,f7,44,-139.7,,
21/Jan/12,CXR,-104.9358,19.4421,264002597,ASY,F,PC,Riparian,0.7,g5,35,-133.7,,
21/Jan/12,CXR,-104.9358,19.4421,264002598,SY,F,PC,Riparian,0.7,f5,38,-155.6,,
9/Feb/12,CXR,-104.9358,19.4421,264002852,ASY,M,PC,Riparian,0.7,f10,32,-146.2,,
9/Feb/12,CXR,-104.9358,19.4421,264002853,SY,M,PC,Riparian,0.7,Valdez Careyes3 a1,27,-149,,
1/Mar/12,CXR,-104.9358,19.4421,264002875,ASY,M,PC,Riparian,0.7,f9,38,-129.8,,
4/Mar/12,CXR,-104.9358,19.4421,264002878,ASY,F,PC,Riparian,0.7,g4,32,-160.8,,
9/Mar/12,CXR,-104.9358,19.4421,264002887,SY,F,PC,Riparian,0.7,f6,33,-137,,
16/Feb/13,CXR,-104.9358,19.4421,269022167,SY,F,PC,Riparian,0.7,f3,42,-138.4,,
16/Feb/13,CXR,-104.9358,19.4421,269022168,SY,M,PC,Riparian,0.7,f2,40,-130.7,,
16/Feb/13,CXR,-104.9358,19.4421,269022169,ASY,F,PC,Riparian,0.7,f1,47,-117.7,,
17/Feb/13,CXR,-104.9358,19.4421,269022170,ASY,F,PC,Riparian,0.7,e9,34,-169.4,-168.9,
17/Feb/13,CXR,-104.9358,19.4421,269022171,ASY,F,PC,Riparian,0.7,e10,30,-164.4,-162.6,Duplicate countains  less oxigen
12/Mar/13,CXR,-104.9358,19.4421,264002636,ASY,M,PC,Riparian,0.7,e6,26,-115.2,,
12/Mar/13,CXR,-104.9358,19.4421,269022174,SY,F,PC,Riparian,0.7,f4,24,-134.2,,
12/Mar/13,CXR,-104.9358,19.4421,269022175,ASY,F,PC,Riparian,0.7,e12,38,-136.7,,
26/Mar/13,CXR,-104.9358,19.4421,264002596,ASY,M,PC,Riparian,0.7,e7,43,-120.3,,
