event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
14314313880,true,2015-05-25 19:26:00.000,-70.54,42.82,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313881,true,2015-05-26 03:53:00.000,-70.58,42.81,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313882,true,2015-05-26 19:35:00.000,-70.59,42.82,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313883,true,2015-05-27 03:44:00.000,-70.61,42.85,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313884,true,2015-05-27 19:34:00.000,-70.63,42.87,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313885,true,2015-05-28 03:42:00.000,-70.64,42.89,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313886,true,2015-05-28 19:41:00.000,-70.64,42.9,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313887,true,2015-05-29 03:38:00.000,-70.64,42.9,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313888,true,2015-05-29 19:37:00.000,-70.65,42.91,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313889,true,2015-05-30 03:40:00.000,-70.65,42.9,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313890,true,2015-05-30 19:37:00.000,-70.66,42.91,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313891,true,2015-05-31 03:47:00.000,-70.67,42.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313892,true,2015-05-31 19:28:00.000,-70.67,42.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313893,true,2015-06-01 03:56:00.000,-70.68,42.91,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313894,true,2015-06-01 19:27:00.000,-70.68,42.91,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313895,true,2015-06-02 03:59:00.000,-70.66,42.91,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313896,true,2015-06-02 19:30:00.000,-70.68,42.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313897,true,2015-06-03 03:47:00.000,-70.68,42.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313898,true,2015-06-03 19:40:00.000,-70.67,42.91,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313899,true,2015-06-04 03:47:00.000,-70.66,42.91,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313900,true,2015-06-04 19:43:00.000,-70.67,42.91,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313901,true,2015-06-05 03:34:00.000,-70.67,42.91,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313902,true,2015-06-05 19:39:00.000,-70.67,42.91,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313903,true,2015-06-06 03:56:00.000,-70.68,42.91,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313904,true,2015-06-06 19:47:00.000,-70.72,42.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313905,true,2015-06-07 03:32:00.000,-70.71,42.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313906,true,2015-06-07 19:42:00.000,-70.72,42.93,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313907,true,2015-06-08 03:53:00.000,-70.7,42.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313908,true,2015-06-08 19:34:00.000,-70.7,42.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313909,true,2015-06-09 03:52:00.000,-70.69,42.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313910,true,2015-06-09 19:40:00.000,-70.69,42.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313911,true,2015-06-10 03:44:00.000,-70.69,42.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313912,true,2015-06-10 19:47:00.000,-70.68,42.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313913,true,2015-06-11 03:50:00.000,-70.69,42.93,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313914,true,2015-06-11 19:43:00.000,-70.69,42.93,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313915,true,2015-06-12 03:39:00.000,-70.68,42.94,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313916,true,2015-06-12 19:39:00.000,-70.67,42.97,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313917,true,2015-06-13 03:46:00.000,-70.68,42.99,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313918,true,2015-06-13 19:47:00.000,-70.67,43.07,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313919,true,2015-06-14 03:37:00.000,-70.64,43.15,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313920,true,2015-06-14 19:39:00.000,-70.62,43.25,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313921,true,2015-06-15 03:49:00.000,-70.63,43.38,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313922,true,2015-06-15 19:25:00.000,-70.62,43.45,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313923,true,2015-06-16 03:45:00.000,-70.66,43.54,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313924,true,2015-06-16 19:47:00.000,-70.73,43.6,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313925,true,2015-06-17 03:30:00.000,-70.74,43.57,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313926,true,2015-06-17 19:46:00.000,-70.7,43.56,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313927,true,2015-06-18 03:42:00.000,-70.7,43.56,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313928,true,2015-06-18 19:45:00.000,-70.7,43.56,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313929,true,2015-06-19 04:13:00.000,-70.7,43.56,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313930,true,2015-06-19 19:50:00.000,-70.7,43.57,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313931,true,2015-06-20 03:32:00.000,-70.7,43.58,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313932,true,2015-06-20 19:37:00.000,-70.69,43.59,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313933,true,2015-06-21 04:02:00.000,-70.68,43.61,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313934,true,2015-06-21 19:44:00.000,-70.68,43.61,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313935,true,2015-06-22 03:50:00.000,-70.68,43.62,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
