Sample,dDnon_exH
EVER-38,-34.58
JAM-35,-64.52
EVER-39,-83.62
JAM-36,-57.60
EVER-40,-60.77
EVER-40-2,-61.14
JAM-37,-63.79
EVER-41,-76.22
JAM-38,-83.74
EVER-42,-38.61
JAM-39,-85.36
JAM-39-2,-81.68
EVER-43,-51.58
JAM-40,-64.60
EVER-44,-39.57
JAM-41,-54.49
EVER-45,-60.13
JAM-42,-62.26
JAM-42-2,-64.31
EVER-46,-82.64
JAM-43,-55.41
EVER-47,-49.64
JAM-44,-71.10
EVER-48,-52.02
JAM-45,-73.32
JAM-45-2,-73.02
EVER-49,-47.73
JAM-46,-62.40
EVER-50,-45.31
JAM-47,-63.05
EVER-51,-46.18
EVER-52,-111.47
JAM-48,-65.67
EVER-53,-57.32
JAM-54,-58.89
EVER-54,-96.49
EVER-54-2,-90.35
JAM-55,-77.90
EVER-55,-39.76
JAM-56,-73.56
EVER-56,-45.25
JAM-57,-66.48
JAM-57-2,-63.69
EVER-57,-39.73
JAM-58,-74.07
EVER-58,-38.89
JAM-59,-56.76
EVER-59,-34.98
EVER-60,-66.09
EVER-60-2,-66.94
EVER-61,-53.12
EVER-62,-42.58
EVER-63,-74.69
EVER-64,-42.30
EVER-68,-50.78
EVER-69,-85.19
EVER-69-2,-86.07
EVER-70,-35.30
JAM-19,-59.59
JAM-20,-80.49
JAM-21,-73.62
JAM-22,-77.77
JAM-23,-44.84
JAM-23-2,-43.11
JAM-24,-74.23
JAM-25,-71.12
JAM-26,-109.43
JAM-27,-56.27
JAM-28,-64.36
JAM-28-2,-57.85
JAM-29,-42.98
JAM-30,-43.54
EVER-65,-80.67
EVER-66,-46.83
EVER-67,-43.03
JAM-31,-48.78
JAM-31-2,-50.50
JAM-49,-57.69
JAM-50,-55.14
JAM-51,-62.53
JAM-52,-62.93
JAM-53,-57.35
JAM-53-2,-62.98
EVER-35,-36.62
JAM-32,-65.28
EVER-36,-47.02
JAM-33,-73.17
EVER-37,-41.27
JAM-34,-59.54
EVER-27,-52.96
EVER-28,-64.09
EVER-29,-61.97
EVER-30,-59.53
EVER-31,-57.27
EVER-31-2,-53.97
EVER-32,-63.98
EVER-33,-69.57
EVER-34,-45.22
JAM-1,-58.53
JAM-2,-66.27
JAM-2-2,-62.63
JAM-3,-65.30
JAM-4,-65.62
JAM-5,-80.17
JAM-6,-73.90
JAM-7,-64.25
JAM-7-2,-64.84
JAM-8,-84.61
JAM-9,-68.75
JAM-10,-66.32
JAM-11,-60.89
JAM-12,-72.30
JAM-13,-59.04
JAM-14,-72.60
JAM-14-2,-72.90
JAM-15,-64.50
JAM-16,-64.49
JAM-17,-68.21
JAM-18,-81.00
JAM-18-2,-85.03
EVER-1,-54.58
EVER-2,-148.64
EVER-3,-55.06
EVER-4,-51.99
EVER-5,-41.93
EVER-5-2,-47.75
EVER-6,-52.70
EVER-7,-58.94
EVER-8,-40.90
EVER-9,-67.44
EVER-10,-68.77
EVER-10-2,-69.62
EVER-11,-107.16
EVER-12,-50.25
EVER-13,-52.50
EVER-14,-43.83
EVER-15,-47.82
EVER-15-2,-44.04
EVER-16,-62.25
EVER-17,-68.22
EVER-18,-54.16
EVER-19,-41.40
EVER-20,-55.29
EVER-20-2,-53.28
EVER-21,-66.46
EVER-22,-66.13
EVER-23,-50.33
EVER-24,-45.79
EVER-25,-46.32
